Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price
XOLO,1.0,8.0,5,5,2350,5299
Zen,0.03125,0.03125,0,1,1000,1549
Winstar,0.03125,0.03125,0,0,600,1999
Karbonn,0.03125,0.03125,0,0,1000,849
Voto,2.0,16.0,8,13,3000,6599
Kekai,1.0,16.0,0,5,2200,3899
I,0.03125,0.0625,0,0,1000,1149
Inovu,0.03125,0.03125,0,0,800,649
Nokia,3.0,32.0,8,13,3060,6999
Inovu,0.03125,0.03125,0,0,1200,799
Easyfone,0.03125,0.03125,0,0,1000,2099
ROKEA,0.25,0.03125,0,0,800,999
ITEL,1.0,8.0,0,2,2500,3834
XOLO,6.0,128.0,16,13,3260,10599
Lava,0.03125,0.0234375,0,0,1750,1399
Tork,0.03125,0.03125,0,0,2500,899
Peace,0.03125,0.03125,0,0,1900,899
Gfive,0.03125,0.0625,0,0,1050,1199
Vivo,4.0,32.0,8,13,3260,11790
Micromax,0.0244140625,0.0244140625,0,0,1000,1040
Yuho,4.0,32.0,0,13,3000,6499
Yuho,4.0,32.0,0,13,3300,5999
Kechaoda,0.001953125,0.03125,0,1,800,880
Tork,0.03125,0.03125,0,0,1000,840
ziox,0.125,0.01953125,0,0,800,699
Vivo,4.0,32.0,8,13,4030,16000
Moto,3.0,64.0,2,21,3900,31999
SSKY,0.03125,0.03125,0,0,2400,799
Intex,0.03125,0.03125,0,0,800,845
Winstar,0.03125,0.03125,0,0,1500,1256
InFocus,2.0,16.0,8,13,3000,4640
Zen,0.03125,0.03125,0,1,800,850
Karbonn,0.03125,0.03125,0,0,1800,1249
MTR,0.0625,0.0625,0,0,800,625
Ismart,0.03125,0.0625,1,1,1040,799
Blackzone,0.009765625,0.009765625,0,0,1000,599
Forme,0.01171875,0.01171875,0,1,2500,898
Jivi,0.0048828125,0.03125,0,0,1000,825
Jivi,0.03125,0.03125,0,0,2750,999
Kechaoda,0.03125,0.03125,0,0,1700,990
Kechaoda,0.25,0.048828125,0,0,850,890
Redmi,3.0,32.0,16,12,3080,8999
Gfive,0.03125,0.03125,0,1,1800,789
Ssky,0.03125,0.03125,0,1,1050,1249
InFocus,0.03125,0.03125,0,0,1000,1110
Lenovo,1.0,16.0,2,8,2300,5499
Honor,4.0,64.0,16,13,3000,14500
Peace,0.03125,0.0625,0,0,850,1599
Ziox,0.03125,0.03125,0,0,1000,799
Tecno,2.0,16.0,0,13,3050,6999
Samsung,6.0,128.0,24,24,3300,17990
I,0.03125,0.0625,0,0,800,1049
I,0.03125,0.0625,0,0,800,1795
Itel,0.03125,0.03125,0,0,2500,1444
Blackbear,0.03125,0.03125,0,1,1000,777
Tork,0.03125,0.03125,0,0,2500,999
Nokia,0.00390625,0.00390625,0,0,1020,1899
OPPO,4.0,64.0,16,13,3075,15990
M-tech,0.03125,0.03125,0,0,1800,1049
Zen,0.03125,0.03125,0,1,1800,999
I,0.03125,0.0625,0,0,800,1497
Yu,1.0,8.0,2,8,2000,4695
Nokia,0.015625,0.015625,0,0,1020,2499
Karbonn,0.009765625,0.009765625,0,0,1700,821
Itel,0.0625,0.0625,0,0,1500,1394
Ssky,2.0,16.0,5,13,3000,4999
Shomi,0.03125,0.03125,0,0,1750,510
MTR,0.0625,0.0625,0,0,800,599
Samsung,4.0,32.0,8,13,3000,15990
Comio,2.0,32.0,8,13,2700,7495
ZIOX,0.03125,0.03125,0,0,1000,825
Samsung,6.0,64.0,0,24,3700,34999
Grabo,0.0625,0.0625,0,0,1000,489
Redmi,6.0,64.0,20,48,4000,19999
ZIOX,1.0,8.0,0,5,2500,3731
MTR,0.0625,0.0625,0,0,800,1099
Samsung,4.0,128.0,32,48,4000,22450
Zen,0.03125,0.03125,0,1,800,790
MTR,0.0625,0.0625,0,0,800,1599
Gionee,2.0,16.0,5,13,3000,5487
BlackZone,0.03125,0.03125,0,0,1000,1180
Kechaoda,0.03125,0.03125,0,0,300,1299
Panasonic,2.0,16.0,5,8,2500,7999
Lenovo,1.0,8.0,1,8,3000,13604
Gfive,0.03125,0.03125,0,1,1200,1999
Samsung,3.0,16.0,8,13,3300,11200
Comio,1.0,32.0,5,8,2200,4995
I,0.03125,0.0625,0,0,1000,799
Alcatel,1.0,8.0,0,8,2000,4999
Karbonn,2.0,16.0,0,5,2250,6334
I,0.03125,0.0625,0,0,800,1799
Gfive,0.03125,0.03125,0,0,1050,629
Intex,0.009765625,0.009765625,0,0,1700,1300
Tecno,3.0,32.0,2,13,4000,8390
Intex,2.0,16.0,0,8,2400,8499
LG,4.0,64.0,0,16,4000,12990
I,0.03125,0.0625,0,0,800,1499
Kechaoda,0.03125,0.0625,0,0,400,1299
Micromax,0.03125,0.03125,0,0,2500,929
Lava,1.0,16.0,5,5,2550,4799
Asus,4.0,32.0,5,13,3000,19999
Kechaoda,0.03125,0.0625,0,0,1700,1100
I,0.0625,0.03125,0,0,1000,639
Huawei,8.0,256.0,0,40,4200,55990
Tecno,3.0,32.0,8,13,3050,7199
MTR,0.0625,0.0625,0,0,1200,949
InFocus,1.0,8.0,2,5,2200,4299
ziox,0.03125,0.03125,0,0,1800,899
MTR,0.0625,0.0625,0,0,2000,999
Intex,0.03125,0.03125,0,0,1050,915
Intex,0.0302734375,0.03125,0,0,1050,790
Micromax,0.0546875,0.0546875,0,0,950,1186
MTR,0.0625,0.0625,0,0,800,699
MTR,0.0625,0.0625,0,0,800,649
Kechaoda,0.03125,0.0625,0,0,700,990
Heemax,0.5,0.03125,0,0,1000,549
MTR,0.0625,0.0625,0,0,2000,949
Gfive,0.03125,0.03125,0,0,1050,599
Meizu,2.0,16.0,8,13,3000,3559
Intex,0.01953125,0.01171875,0,0,1050,740
Yu,3.0,32.0,5,13,4000,4799
MTR,0.0625,0.0625,0,0,2000,1049
BlackZone,0.009765625,0.009765625,0,0,1500,699
Moto,2.0,16.0,5,8,2800,8499
nuvo,0.03125,0.03125,0,1,800,588
Ssky,0.0625,0.0625,0,0,1200,999
InFocus,0.03125,0.03125,0,1,1000,641
Ziox,0.03125,0.03125,0,0,1800,999
Micromax,0.5,4.0,0,1,1200,2445
BlackZone,1.0,8.0,5,5,2600,3200
Megus,0.03125,0.03125,0,1,2700,1099
Nokia,6.0,64.0,16,16,3060,11490
Micromax,0.0546875,0.0234375,0,0,1750,999
I,0.03125,0.0625,0,0,1000,699
Samsung,4.0,64.0,0,13,5000,13899
Ziox,0.03125,0.03125,0,0,1000,900
Krex,0.03125,0.03125,0,0,1000,699
Karbonn,0.03125,0.03125,0,0,1750,875
Forme,0.03125,0.03125,0,0,1500,890
SHOMI,0.03125,0.03125,0,0,1000,799
Redmi,4.0,64.0,13,12,4000,10989
SAMSOTEL,0.03125,0.03125,0,0,1000,929
MTR,0.0625,0.0625,0,0,800,650
Honor,3.0,32.0,5,13,3020,11500
Tecno,4.0,64.0,16,13,3500,8850
GIVA,0.03125,0.009765625,0,0,1100,499
Itel,1.0,8.0,2,5,2400,4399
Peace,0.0625,0.25,0,0,850,749
Karbonn,0.03125,0.03125,0,0,800,709
SSKY,2.0,16.0,5,13,3000,4299
Kara,0.0009765625,0.0009765625,0,0,1700,675
Samsung,8.0,128.0,10,16,3400,66999
Trio,0.03125,0.0625,0,1,1500,669
Honor,4.0,64.0,8,12,3000,15999
CAT,3.0,32.0,5,13,3800,46500
Tecno,2.0,16.0,8,13,3050,5199
Gionee,3.0,32.0,8,13,3550,5499
Nokia,4.0,64.0,20,48,3500,15499
Samsung,6.0,128.0,16,48,6000,17990
MTR,0.0625,0.0625,0,0,800,899
OPPO,4.0,64.0,8,13,3180,9750
Lava,2.0,16.0,5,8,3000,5958
Ziox,0.03125,0.03125,0,0,3000,1099
MTR,0.0625,0.0625,0,0,800,999
Kara,0.0009765625,0.0009765625,0,0,1700,700
BlackZone,0.0625,0.0625,0,0,1800,799
MTR,0.0625,0.0625,0,0,800,799
Tork,0.03125,0.03125,0,0,2800,1199
I,1.0,8.0,0,5,2200,3099
Hicell,0.03125,0.0625,0,0,1050,499
M-tech,0.03125,0.03125,0,0,1000,1040
ZIOX,0.03125,0.03125,0,0,2500,848
Lenovo,2.0,16.0,2,8,2900,7800
Panasonic,3.0,32.0,5,13,4000,5728
Kechaoda,0.03125,0.0625,0,0,1700,949
Intex,0.03125,0.03125,0,1,1700,1165
Itel,0.03125,0.03125,0,0,1000,899
Tecno,2.0,32.0,16,13,3500,8999
Ismart,0.00390625,16.0,0,1,2800,1049
