Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Tork,32,32,0,0,2500,0,1299
I Kall,4,32,0,5,3000,1,5699
Itel,32,32,0,0,2500,0,973
Tecno,2,32,16,13,3500,1,8999
Samsung,6,128,32,32,4500,1,22990
Apple,0,512,7,12,0,1,109900
Tecno,2,16,8,13,3050,1,5133
vivo,6,64,0,16,5000,1,12650
Kechaoda,32,32,0,0,800,0,899
Micromax,32,32,0,0,1800,0,813
Mymax,32,32,0,1,1500,0,799
I Kall,4,64,5,8,3000,1,4499
I Kall,32,64,0,0,800,0,919
Samsung,4,64,16,16,4000,1,13990
OnePlus,8,256,16,48,4000,1,47999
I Kall,32,64,0,0,800,0,599
Yu,4,32,8,13,3000,1,10999
I Kall,2,16,0,5,2800,1,3599
Jivi,32,32,0,0,1000,0,647
YUHO,2,16,0,8,2750,1,4399
I Kall,32,64,0,0,800,0,489
I Kall,2,16,0,5,2500,1,3199
Kechaoda,32,64,0,0,1700,0,948
Itel,8,8,0,0,1900,0,1369
Lenovo,2,32,5,13,4900,1,15999
Karbonn,32,32,0,0,1000,0,899
I Kall,32,64,0,0,800,0,499
I Kall,4,32,0,5,3000,1,5699
Nokia,3,32,8,13,3000,1,9499
Jivi,1,16,0,0,1800,0,879
Karbonn,0,0,0,0,1600,0,979
vivo,6,64,0,16,5000,1,12650
Samsung,0,0,0,0,800,0,1635
Redmi,6,64,20,48,4000,1,19999
Gfive,32,32,0,1,1000,0,1099
Itel,32,32,0,0,1000,0,745
I Kall,32,64,0,0,1800,0,1299
I Kall,4,64,5,8,3000,1,4499
Forme,12,15,0,1,1800,0,860
Redmi,6,64,20,48,4000,1,19999
Inovu,32,32,0,0,800,0,649
I Kall,2,16,0,5,2800,1,3599
Micromax,1,8,2,5,2000,1,3590
XOLO,3,16,13,13,3000,1,8499
OPPO,4,64,25,16,3400,1,22990
Kechaoda,32,64,0,0,1700,0,939
I Kall,32,64,0,0,800,0,599
I Kall,2,16,0,5,2500,1,3199
Kechaoda,32,64,0,0,1700,0,938
I Kall,32,64,0,0,800,0,599
Yuho,3,32,13,13,3000,1,5790
I Kall,4,32,0,5,3000,1,5699
Panasonic,1,16,5,5,2300,1,4999
Micromax,32,32,0,0,1750,0,870
Inovu,32,32,0,0,1200,0,799
Micromax,32,32,0,0,2500,0,1079
Karbonn,32,32,0,0,1750,0,1089
I Kall,1,8,2,5,2200,1,3099
Kechaoda,32,64,0,0,1700,0,999
Lava,32,24,0,0,1750,0,1089
Karbonn,32,32,0,0,1000,0,848
I Kall,4,64,5,8,3000,1,4499
Voto,2,16,8,13,3000,1,6599
Karbonn,64,64,0,0,1800,0,965
Gfive,0,32,0,0,1050,0,649
Karbonn,32,32,0,0,800,0,1339
Gfive,64,256,0,0,1050,0,649
I Kall,2,16,0,5,2800,1,3599
Tecno,3,32,5,13,3000,1,6999
Karbonn,32,32,0,0,800,0,669
GAMMA,32,32,0,0,1000,0,870
I Kall,2,16,0,5,2500,1,3199
GAMMA,32,32,0,0,1000,0,890
OPPO,6,128,16,48,4020,1,20489
Peace,32,64,0,0,850,0,605
Micromax,56,56,0,0,950,0,1156
Tecno,2,16,0,13,3050,1,4848
I Kall,4,32,0,5,3000,1,5699
Karbonn,32,32,0,0,1750,0,770
Tecno,3,32,2,13,4000,1,8990
Tecno,2,16,8,13,3050,1,4659
I Kall,1,8,2,5,2200,1,3099
Salora,32,32,0,1,1200,0,1299
I Kall,32,64,0,0,1000,0,599
Apple,0,256,7,12,0,1,84900
I Kall,32,64,0,0,1000,0,999
Micromax,32,32,0,0,1750,0,1038
I Kall,4,64,5,8,3000,1,4499
Vivo,4,64,20,13,4030,1,12890
Infinix,4,64,13,13,4000,1,9999
Kechaoda,32,32,0,0,1000,0,830
I Kall,2,16,0,5,2800,1,3599
Micromax,1,8,2,5,2000,1,5749
XOLO,1,8,5,5,2350,1,5299
Intex,31,32,0,0,1050,0,749
Apple,0,64,7,12,0,1,69999
Samsung,6,128,8,12,4000,1,67900
I Kall,2,16,0,5,2500,1,3399
Kechaoda,32,32,0,0,1700,0,1090
Blackbear,64,64,0,1,1050,0,749
Zen,1,8,2,2,1750,1,2499
I Kall,4,32,0,5,3000,1,5699
Micromax,32,32,0,0,1000,0,1131
Muphone,32,32,0,1,1800,0,849
Karbonn,32,32,0,0,800,0,709
Infinix,3,32,16,13,4000,1,10999
Kechaoda,32,32,0,0,800,0,850
I Kall,4,64,5,8,3000,1,4499
Samsung,6,128,10,16,3100,1,47990
Intex,32,32,0,0,1050,0,799
Jivi,1,16,0,0,1000,0,799
I Kall,2,16,0,5,2800,1,3599
Gfive,0,32,0,0,1050,0,675
Zen,1,8,0,2,1750,1,2499
I Kall,32,64,0,0,1000,0,999
Karbonn,1,4,2,13,1800,0,13298
Karbonn,1,4,2,13,1800,0,14990
I Kall,2,16,0,5,2500,1,3399
Infinix,3,32,32,13,4000,1,7999
Blackbear,32,32,0,0,1850,0,999
Infinix,3,32,20,13,4000,1,9999
I Kall,4,32,0,5,3000,1,5699
Nubia,8,128,16,48,5000,1,38999
Inovu,32,32,0,0,800,0,549
Karbonn,32,32,0,0,1000,0,820
Tecno,2,32,8,13,3050,1,5290
Lava,1,16,5,8,3000,1,4699
vivo,6,64,0,16,5000,1,12650
Tecno,3,32,16,13,3500,1,9999
Nokia,3,32,8,13,3060,1,6999
Redmi,4,64,20,12,4000,1,12999
I Kall,4,64,5,8,3000,1,4499
Mi,2,16,5,13,3030,1,12999
Karbonn,32,32,0,0,1750,0,769
Micromax,56,40,0,0,1000,0,791
Redmi,3,32,16,12,3080,1,8999
Redmi,4,64,5,12,4000,1,10490
I Kall,2,16,0,5,2800,1,3599
Google,4,64,8,12,3700,1,34999
Blackbear,64,64,0,1,1050,0,749
I Kall,32,64,0,0,1000,0,1099
I Kall,2,16,0,5,2500,1,3399
Blackbear,32,64,0,2,2500,0,799
Redmi,4,64,20,12,4000,1,12999
Tecno,4,64,16,13,3500,1,9999
Coolpad,3,16,8,8,2500,1,5990
OnePlus,8,128,0,16,3800,1,31999
I Kall,4,32,0,5,3000,1,5699
Samsung,8,128,10,64,4000,1,66999
